strategy,window,start,end,n_weeks,ann_return,ann_vol,sharpe,dsr,max_drawdown,hit_rate
equal_weight_1_7,full_sample,2007-07-27,2026-06-12,986,0.07362465458614587,0.12898172006979883,0.5708146437053535,0.9953840631918535,-0.39442989970107944,0.5598377281947262
equal_weight_1_7,gfc_2008,2008-09-05,2009-03-27,30,-0.38959413586830305,0.3618160240034664,-1.0767741338746526,0.19225045643429156,-0.326376667047943,0.4
equal_weight_1_7,covid_2020,2020-02-21,2020-05-29,15,-0.18026393257992313,0.4144753958679875,-0.43492070790454856,,-0.22626825158756403,0.5333333333333333
equal_weight_1_7,rate_shock_2022,2022-01-07,2022-10-28,43,-0.24711622596875582,0.138113578114969,-1.7892247043447853,0.04665161455338861,-0.2268494806246475,0.32558139534883723
equal_weight_1_7,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
sixty_forty,full_sample,2007-07-27,2026-06-12,986,0.06564032805732567,0.13267499341133857,0.4947452897458819,0.989535349570769,-0.4313626336115338,0.5649087221095335
sixty_forty,gfc_2008,2008-09-05,2009-03-27,30,-0.4309407405392569,0.3879805841854903,-1.11072759335098,0.17753454964819726,-0.3554581908128619,0.4666666666666667
sixty_forty,covid_2020,2020-02-21,2020-05-29,15,-0.21532649162876316,0.422288911864428,-0.509903257175485,,-0.2305538140774196,0.5333333333333333
sixty_forty,rate_shock_2022,2022-01-07,2022-10-28,43,-0.2675038885892089,0.1487133085902193,-1.7987891677288816,0.04643138407329315,-0.24472177087905922,0.32558139534883723
sixty_forty,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_only,full_sample,2007-07-27,2026-06-12,986,0.07319849646679488,0.10426328396287826,0.702054392348282,0.9988622554164915,-0.21003977682248687,0.5882352941176471
m1_only,gfc_2008,2008-09-05,2009-03-27,30,-0.20099699198717014,0.18338206631829837,-1.0960558795225774,0.1744140070186893,-0.20486903515946198,0.4666666666666667
m1_only,covid_2020,2020-02-21,2020-05-29,15,-0.1884235748875498,0.213506026581505,-0.8825211068017319,,-0.13845324012670412,0.6666666666666666
m1_only,rate_shock_2022,2022-01-07,2022-10-28,43,-0.2307413079977627,0.1275616007383257,-1.8088618099979425,0.04350115593605015,-0.19959571523265618,0.37209302325581395
m1_only,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_binary,full_sample,2007-07-27,2026-06-12,986,0.07164082185263831,0.10344040264966059,0.6925806553100592,0.9986945874182467,-0.23477016391448347,0.5882352941176471
m1_m2_binary,gfc_2008,2008-09-05,2009-03-27,30,-0.2391528472690031,0.1759446136535461,-1.3592507454642562,0.09360801203436597,-0.21114093511603693,0.5
m1_m2_binary,covid_2020,2020-02-21,2020-05-29,15,-0.22678360213133708,0.21304690729042114,-1.0644773257477536,,-0.1512308987954114,0.6
m1_m2_binary,rate_shock_2022,2022-01-07,2022-10-28,43,-0.23074130799776316,0.12756160073832576,-1.8088618099979452,0.04350115593605021,-0.1995957152326565,0.37209302325581395
m1_m2_binary,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_linear,full_sample,2007-07-27,2026-06-12,986,0.017977934155070097,0.02139097088892897,0.840444982531143,0.9997974952647646,-0.05439625546129723,0.5892494929006086
m1_m2_linear,gfc_2008,2008-09-05,2009-03-27,30,-0.043968272499701255,0.045435880037430196,-0.9676993702659678,0.2162783539304362,-0.05423202889314438,0.5
m1_m2_linear,covid_2020,2020-02-21,2020-05-29,15,0.01627117600250183,0.04591100021753185,0.3544069161074043,,-0.025102224645159432,0.6666666666666666
m1_m2_linear,rate_shock_2022,2022-01-07,2022-10-28,43,-0.05147153442889385,0.02736626078985593,-1.880839140726643,0.05067542736127331,-0.04571549411882969,0.3488372093023256
m1_m2_linear,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_ecdf,full_sample,2007-07-27,2026-06-12,986,0.06514214348974123,0.07171274372920293,0.908376114233292,0.999913928339443,-0.18802549092940113,0.5953346855983773
m1_m2_ecdf,gfc_2008,2008-09-05,2009-03-27,30,-0.2110572850569773,0.15513719366941794,-1.3604557364027066,0.0880534043352652,-0.18802549092940113,0.5333333333333333
m1_m2_ecdf,covid_2020,2020-02-21,2020-05-29,15,0.234851989500668,0.1211840987484029,1.9379769452117424,,-0.03947875919336452,0.6666666666666666
m1_m2_ecdf,rate_shock_2022,2022-01-07,2022-10-28,43,-0.17497458903597063,0.10393668735649962,-1.6834728283749625,0.06344431956754275,-0.15872586842053138,0.3488372093023256
m1_m2_ecdf,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
