experiment,mode,strategy,ann_return,sharpe,max_dd,info_ratio
current_default,long_only,m1_only,0.0604647159708198,0.7070256925211751,-0.179184461751146,-0.1970626487524769
current_default,long_only,m1_m2_binary,0.0600138165841961,0.7083819305050623,-0.1861821334437454,-0.2031002084098047
current_default,long_only,m1_m2_ecdf,0.0502079913967421,0.9321102737240812,-0.1336039313649329,-0.291707397989483
current_default,long_only,m1_m2_linear,0.0137763738587946,0.8536660993760385,-0.0379257593655727,-0.5594763246328189
top3_vol13,long_only,m1_only,0.061649070767427,0.7142141435634982,-0.1798027623389991,-0.1842659751511705
top3_vol13,long_only,m1_m2_binary,0.0613279752204132,0.7175533330865427,-0.1861788247006077,-0.188838649040447
top3_vol13,long_only,m1_m2_ecdf,0.0501844344287749,0.9315467216366434,-0.1336039313649329,-0.2918934676911566
top3_vol13,long_only,m1_m2_linear,0.0137763738587946,0.8536660993760385,-0.0379257593655727,-0.5594763246328189
top3_vol14,long_only,m1_only,0.062453942551939,0.7196182575438635,-0.1797950521288513,-0.1755476651249671
top3_vol14,long_only,m1_m2_binary,0.0619944351154755,0.7219112839636224,-0.1861788247006077,-0.1816524769807105
top3_vol14,long_only,m1_m2_ecdf,0.0501844344287749,0.9315467216366434,-0.1336039313649329,-0.2918934676911566
top3_vol14,long_only,m1_m2_linear,0.0137763738587946,0.8536660993760385,-0.0379257593655727,-0.5594763246328189
top3_vol15,long_only,m1_only,0.0629133829537338,0.7231310534152141,-0.1797950521288513,-0.1704811390988401
top3_vol15,long_only,m1_m2_binary,0.0623881744443739,0.7249006051496735,-0.1861788247006077,-0.1771976688355779
top3_vol15,long_only,m1_m2_ecdf,0.0501844344287749,0.9315467216366434,-0.1336039313649329,-0.2918934676911566
top3_vol15,long_only,m1_m2_linear,0.0137763738587946,0.8536660993760385,-0.0379257593655727,-0.5594763246328189
top2_vol12,long_only,m1_only,0.0421107108624327,0.6107341089388181,-0.1474993737921692,-0.337626927581736
top2_vol12,long_only,m1_m2_binary,0.0428479520161122,0.6245934575689253,-0.1584869521350087,-0.3316233869250036
top2_vol12,long_only,m1_m2_ecdf,0.0290964055469986,0.6890261464745968,-0.118532052618734,-0.4460160320242578
top2_vol12,long_only,m1_m2_linear,0.0080545809950662,0.6760512762880163,-0.0303862913849736,-0.5825570263159091
top2_vol14,long_only,m1_only,0.0420013559778218,0.6084674909154948,-0.1474993737921692,-0.3382340304402128
top2_vol14,long_only,m1_m2_binary,0.0428289068659393,0.6234647722536042,-0.1584869521350087,-0.3313191391939779
top2_vol14,long_only,m1_m2_ecdf,0.0290964055469986,0.6890261464745968,-0.118532052618734,-0.4460160320242578
top2_vol14,long_only,m1_m2_linear,0.0080545809950662,0.6760512762880163,-0.0303862913849736,-0.5825570263159091
top3_no_conviction,long_only,m1_only,0.0731984964667948,0.7020543923482823,-0.2100397768224868,-0.0413365136627177
top3_no_conviction,long_only,m1_m2_binary,0.0716408218526383,0.6925806553100595,-0.2347701639144834,-0.0608536158968277
top3_no_conviction,long_only,m1_m2_ecdf,0.0651421434897412,0.9083761142332925,-0.1880254909294011,-0.1529956185149905
top3_no_conviction,long_only,m1_m2_linear,0.0179779341550616,0.8404449825309017,-0.0543962554612829,-0.5464576274061208
threshold_portfolio,long_only,m1_only,0.0604534090778985,0.7647303696034363,-0.1563026589715375,-0.1720168089542624
threshold_portfolio,long_only,m1_m2_binary,0.0585448043060747,0.8497053553208609,-0.1419812605823989,-0.1905989619933734
threshold_portfolio,long_only,m1_m2_ecdf,0.0456964147534937,0.92938191787887,-0.1309802228600924,-0.307807327380848
threshold_portfolio,long_only,m1_m2_linear,0.0160658652279386,0.8680106736196255,-0.0534337224547379,-0.5306150018034324
top3_tc3,long_only,m1_only,0.0613905019487828,0.7178600238971528,-0.1784974886382361,-0.1869553452305054
top3_tc3,long_only,m1_m2_binary,0.0610660690532964,0.7208382898214774,-0.1849780525229322,-0.1915914441136205
top3_tc3,long_only,m1_m2_ecdf,0.0515292628257502,0.9566251908694664,-0.1334472524404562,-0.2790448185731614
top3_tc3,long_only,m1_m2_linear,0.0140146203753095,0.8683799946427794,-0.0378494772212201,-0.5574730475645612
